White	WhiteWin	Draw	BlackWin	Black
S1-Q-A1-A2	25	0	7	B1-B2-G1-Q
S1-Q-A1-A1	23	1	8	A1-Q-S1-B1
G1-Q-A1-A2	28	1	3	G1-B1-G2-Q
G1-Q-A1-A1	26	0	6	G1-Q-B1-B2
G1-A1-Q-A1	25	0	7	G1-A1-Q-B1
B1-Q-B2-S1	8	1	23	G1-Q-A1-A1
B1-G1-B2-Q	6	0	26	G1-Q-A1-A1
A1-S1-B1-Q	12	0	20	S1-A1-Q-A1
A1-Q-S1-B1	7	0	25	S1-Q-A1-A1
A1-A2-Q-B1	10	2	20	S1-A1-Q-A1
S1-S2-Q-A1	23	0	8	S1-Q-B1-B2
S1-S2-Q-A1	18	1	12	G1-Q-B1-B2
S1-S2-A1-Q	23	0	8	G1-A1-Q-B1
S1-Q-S2-B1	9	1	21	G1-Q-A1-A1
S1-Q-A1-A2	28	0	3	G1-M1-B1-Q
S1-Q-A1-A2	25	1	5	G1-A1-Q-B1
S1-G1-Q-B1	8	1	22	G1-Q-A1-A1
S1-A1-Q-A2	26	0	5	G1-A1-A2-Q
S1-A1-Q-A1	22	0	9	S1-Q-B1-B2
S1-A1-Q-A1	21	1	9	B1-A1-Q-B2
S1-A1-A2-Q	22	0	9	S1-A1-B1-Q
G1-S1-Q-B1	11	0	20	S1-A1-Q-A1
G1-Q-A1-A2	27	0	4	S1-B1-Q-B2
G1-Q-A1-A2	28	0	3	S1-A1-S2-Q
G1-Q-A1-A2	28	0	3	A1-B1-A2-Q
G1-Q-A1-A1	24	1	6	S1-Q-B1-B2
G1-A1-Q-A1	20	1	10	G1-G2-Q-B1
A1-B1-Q-B2	11	0	20	S1-A1-Q-A1
S1-S2-Q-S2	22	0	8	G1-A1-Q-B1
S1-S2-Q-A1	22	0	8	S1-S2-A1-Q
S1-S2-Q-A1	16	0	14	S1-B1-Q-B2
S1-S2-A1-Q	17	0	13	G1-S1-Q-B1
S1-Q-A1-A1	18	3	9	B1-Q-B2-S1
S1-A1-Q-A2	26	1	3	S1-B1-S2-Q
M1-A1-A2-Q	4	0	26	S1-Q-A1-A1
G1-S1-G2-Q	9	0	21	S1-Q-A1-A1
G1-Q-B1-B2	9	3	18	G1-Q-A1-A1
G1-Q-A1-A2	29	0	1	S1-G1-Q-B1
G1-Q-A1-A2	27	0	3	G1-B1-A1-Q
G1-Q-A1-A2	25	0	5	G1-A1-G2-Q
G1-Q-A1-A1	20	0	10	B1-A1-Q-B2
G1-Q-A1-A1	24	0	6	A1-B1-Q-B2
G1-A1-Q-A1	20	0	10	G1-B1-Q-B2
G1-A1-B1-Q	8	1	21	S1-A1-Q-A1
